Date,Open,High,Low,Close,Turnover (Rs. Cr)
02-Mar-98,1060.9,1100.8,1060.9,1098.2,1853.73
03-Mar-98,1099.25,1101.95,1046.75,1063.5,2116.29
04-Mar-98,1062.7,1094.45,1062.7,1092.35,1402.76
05-Mar-98,1091.95,1098.9,1079.95,1083.35,1038.68
06-Mar-98,1083.3,1086,1073.25,1081.45,1023.12
09-Mar-98,1081.95,1100.4,1081.95,1099.5,1438.48
10-Mar-98,1099.35,1102.85,1082.7,1086.05,1389.14
11-Mar-98,1086.65,1102.6,1074.55,1083,1548.56
12-Mar-98,1083.35,1083.95,1072.4,1077.5,1441.86
16-Mar-98,1077.75,1102.6,1077.75,1090.45,1111.97
17-Mar-98,1090.25,1090.25,1072.7,1083.3,1272.88
18-Mar-98,1083.85,1108.2,1083.85,1103.35,1134.86
19-Mar-98,1103.8,1113.45,1099.8,1105.8,1268.77
20-Mar-98,1105.5,1112.4,1097.75,1109.6,1049.24
23-Mar-98,1110.1,1124.8,1110.1,1124.1,364.59
24-Mar-98,1124.25,1137.8,1117.35,1120.85,1380.2
25-Mar-98,1121.45,1149.35,1121.45,1146.95,1170.69
26-Mar-98,1147.65,1156.7,1127.3,1129.5,1255.98
27-Mar-98,1129.5,1142.1,1121.2,1140.35,1085.74
30-Mar-98,1140.6,1146.65,1122.95,1124.85,1062.28
31-Mar-98,1124.75,1127.5,1111.85,1116.9,1385.09
01-Apr-98,1117.15,1151,1117.15,1150.1,1537.37
02-Apr-98,1150.4,1169.55,1150.4,1157.4,1640.71
03-Apr-98,1157.9,1174.55,1157.3,1173.45,1634.67
06-Apr-98,1173.55,1191.55,1173.55,1187.1,1441.74
07-Apr-98,1187.35,1199.55,1184,1187.8,1697.2
09-Apr-98,1189.4,1224.25,1189.4,1209.6,1849.4
10-Apr-98,1209.75,1209.9,1189.45,1192.4,1330.31
13-Apr-98,1191.65,1191.65,1156.85,1159.45,1409.81
15-Apr-98,1159.55,1210.6,1159.55,1206.3,1195.13
16-Apr-98,1206.35,1215.05,1194.5,1197.05,1018.09
17-Apr-98,1197.05,1211.8,1189.75,1210,1237.6
20-Apr-98,1210.05,1222.55,1202.2,1207.15,1071.24
21-Apr-98,1207.2,1218.95,1207.2,1212.75,1265.19
22-Apr-98,1212.95,1247.15,1208,1210.8,1302.56
23-Apr-98,1210.25,1211.3,1179.75,1182.1,963.3
24-Apr-98,1182.15,1183.75,1144.85,1173.8,1222.79
27-Apr-98,1173.85,1180.2,1161.2,1164.35,814.17
28-Apr-98,1164.1,1164.3,1144.55,1146.8,1076.53
29-Apr-98,1151.3,1178.05,1147,1151.1,906.66
30-Apr-98,1151.4,1161,1137.8,1159.35,958.43
04-May-98,1159.8,1185.75,1159.8,1185.15,1043.98
05-May-98,1185.2,1191.25,1177.3,1188.1,943.31
06-May-98,1188,1196.7,1169.15,1172.45,963.06
08-May-98,1172.1,1172.2,1157.3,1161.55,882.25
11-May-98,1162.2,1162.95,1156.45,1160.3,600.7
12-May-98,1160.15,1160.15,1100.1,1132.25,1397.05
13-May-98,1132.1,1132.1,1091.25,1094.1,1136.14
14-May-98,1094.05,1121.75,1081.6,1118.65,1578.03
15-May-98,1119.15,1130.4,1104.2,1110.1,1303.54
18-May-98,1110.65,1130,1110.65,1119.8,786
19-May-98,1119.8,1125.15,1116.2,1121.75,958.27
20-May-98,1121.7,1142.95,1121.7,1141.3,967.4
21-May-98,1141.65,1146.35,1120.35,1126.15,1032.59
22-May-98,1126.1,1131.25,1118.5,1126.55,1064.37
25-May-98,1125.9,1127,1111.2,1122.95,685.15
